region,surface_area
Southern and Central Asia,652090.0
Southern and Central Asia,143998.0
Southern and Central Asia,47000.0
Southern and Central Asia,3287263.0
Southern and Central Asia,1648195.0
Southern and Central Asia,2724900.0
Southern and Central Asia,199900.0
Southern and Central Asia,65610.0
Southern and Central Asia,298.0
Southern and Central Asia,147181.0
Southern and Central Asia,796095.0
Southern and Central Asia,143100.0
Southern and Central Asia,488100.0
Southern and Central Asia,447400.0
Central Africa,1246700.0
Central Africa,622984.0
Central Africa,475442.0
Central Africa,2344858.0
Central Africa,342000.0
Central Africa,267668.0
Central Africa,28051.0
Central Africa,964.0
Central Africa,1284000.0
