region,gnp
Western Europe,211860.0
Western Europe,249704.0
Western Europe,264478.0
Western Europe,2133367.0
Western Europe,1424285.0
Western Europe,1119.0
Western Europe,16321.0
Western Europe,776.0
Western Europe,371362.0
Caribbean,828.0
Caribbean,63.2
Caribbean,1941.0
Caribbean,612.0
Caribbean,3527.0
Caribbean,2223.0
Caribbean,17843.0
Caribbean,1263.0
Caribbean,256.0
Caribbean,15846.0
Caribbean,3501.0
Caribbean,318.0
Caribbean,3459.0
Caribbean,6871.0
Caribbean,299.0
Caribbean,571.0
Caribbean,109.0
Caribbean,2731.0
Caribbean,34100.0
Caribbean,96.0
Caribbean,6232.0
Caribbean,285.0
Caribbean,612.0
Caribbean,0.0
